id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
#meta +id,#meta +code,#loc +airport +type,#loc +airport +name,#geo +lat,#geo +lon,#geo +elevation +ft,#region +continent +code,#country +name,#country +code +iso2,#adm1 +name,#adm1 +code +iso,#adm1 +code +local,#loc +municipality +name,#status +scheduled,#loc +airport +code +gps,#loc +airport +code +iata,#loc +airport +code +local,#meta +url +airport,#meta +url +wikipedia,#meta +keywords,#meta +score,#date +updated
1787,CYKF,medium_airport,Waterloo Airport,43.46080017,-80.37860107,1055,NA,Canada,CA,Ontario,CA-ON,ON,Kitchener,1,CYKF,YKF,,http://www.waterlooairport.ca/,https://en.wikipedia.org/wiki/Region_of_Waterloo_International_Airport,"Kitchener, Cambridge, YFK",750,2010-12-28T12:12:39+00:00
1820,CYMX,medium_airport,Montreal International (Mirabel) Airport,45.679501,-74.038696,270,NA,Canada,CA,Quebec,CA-QC,QC,Montréal,0,CYMX,YMX,,,https://en.wikipedia.org/wiki/Montr%C3%A9al-Mirabel_International_Airport,YMQ,750,2018-01-29T16:48:16+00:00
1877,CYQT,medium_airport,Thunder Bay Airport,48.37189865,-89.32389832,653,NA,Canada,CA,Ontario,CA-ON,ON,Thunder Bay,1,CYQT,YQT,,,https://en.wikipedia.org/wiki/Thunder_Bay_International_Airport,,750,2008-06-13T14:30:04+00:00
1795,CYKZ,medium_airport,Buttonville Municipal Airport,43.86220169,-79.37000275,650,NA,Canada,CA,Ontario,CA-ON,ON,Toronto,0,CYKZ,YKZ,,http://www.torontoairways.com/,https://en.wikipedia.org/wiki/Toronto/Buttonville_Municipal_Airport,YTO,275,2009-08-05T21:23:51+00:00
1863,CYQA,medium_airport,Muskoka Airport,44.97470093,-79.30329895,925,NA,Canada,CA,Ontario,CA-ON,ON,Muskoka,0,CYQA,YQA,,,https://en.wikipedia.org/wiki/Muskoka_Airport,,275,2008-06-13T14:30:04+00:00
1986,CYYT,large_airport,St. John's International Airport,47.61859894,-52.75189972,461,NA,Canada,CA,Newfoundland and Labrador,CA-NL,NL,St. John's,1,CYYT,YYT,,http://www.stjohnsairport.com/,https://en.wikipedia.org/wiki/St._John's_International_Airport,,1000,2012-11-19T21:38:16+00:00
1969,CYXX,large_airport,Abbotsford International Airport,49.025299,-122.361,195,NA,Canada,CA,British Columbia,CA-BC,BC,Abbotsford,1,CYXX,YXX,,http://www.abbotsfordairport.ca/,https://en.wikipedia.org/wiki/Abbotsford_International_Airport,,1000,2022-07-07T15:06:11+00:00
1881,CYQX,medium_airport,Gander International Airport / CFB Gander,48.936258,-54.567719,496,NA,Canada,CA,Newfoundland and Labrador,CA-NL,NL,Gander,1,CYQX,YQX,,,https://en.wikipedia.org/wiki/Gander_International_Airport,CFB Gander,750,2022-09-20T10:25:49+00:00
1854,CYPQ,medium_airport,Peterborough Municipal Airport,44.23,-78.363297,628,NA,Canada,CA,Ontario,CA-ON,ON,Peterborough,0,CYPQ,YPQ,,,https://en.wikipedia.org/wiki/Peterborough_Airport,,275,2022-02-11T17:19:46+00:00
1837,CYOO,medium_airport,Oshawa Executive Airport,43.922798,-78.894997,460,NA,Canada,CA,Ontario,CA-ON,ON,Oshawa,0,CYOO,YOO,CYOO,http://www.oshawa-airport.com/,https://en.wikipedia.org/wiki/Oshawa_Airport,,250,2022-02-11T17:33:31+00:00
1768,CYHU,medium_airport,Montréal / Saint-Hubert Airport,45.51750183,-73.41690063,90,NA,Canada,CA,Quebec,CA-QC,QC,Montréal,1,CYHU,YHU,,http://www.dashl.ca/,https://en.wikipedia.org/wiki/Montr%C3%A9al/St-Hubert_Airport,,500,2011-04-23T14:03:44+00:00
1872,CYQM,medium_airport,Greater Moncton Roméo LeBlanc International Airport,46.112202,-64.678596,232,NA,Canada,CA,New Brunswick,CA-NB,NB,Moncton,1,CYQM,YQM,,https://cyqm.ca/,https://en.wikipedia.org/wiki/Greater_Moncton_International_Airport,"CYQM, YQM, Moncton",750,2020-04-17T02:11:08+00:00
1908,CYSN,medium_airport,Niagara District Airport,43.19169998,-79.17169952,321,NA,Canada,CA,Ontario,CA-ON,ON,St Catharines,0,CYSN,YCM,,,https://en.wikipedia.org/wiki/St._Catharines/Niagara_District_Airport,YSN,250,2008-06-13T14:30:04+00:00
1304,CNF4,small_airport,Kawartha Lakes (Lindsay) Airport,44.3647,-78.783897,882,NA,Canada,CA,Ontario,CA-ON,ON,Lindsay,0,CNF4,,CNF4,,https://en.wikipedia.org/wiki/Lindsay_Airport,NF4,50,2017-01-09T19:11:52+00:00
1730,CYFC,medium_airport,Fredericton Airport,45.8689003,-66.53720093,68,NA,Canada,CA,New Brunswick,CA-NB,NB,Fredericton,1,CYFC,YFC,,,https://en.wikipedia.org/wiki/Greater_Fredericton_Airport,,750,2008-06-13T14:30:04+00:00
1891,CYRO,medium_airport,Ottawa / Rockcliffe Airport,45.46030045,-75.64610291,188,NA,Canada,CA,Ontario,CA-ON,ON,Ottawa,0,CYRO,YRO,CYRO,http://www.rfc.ca/,https://en.wikipedia.org/wiki/Ottawa/Rockcliffe_Airport,YRO,250,2010-09-24T22:13:57+00:00
1361,CNY3,small_airport,Collingwood Airport,44.44919968,-80.15830231,730,NA,Canada,CA,Ontario,CA-ON,ON,Collingwood,0,CNY3,,CNY3,http://www.collingwoodairport.ca/,https://en.wikipedia.org/wiki/Collingwood_Airport,NY3,50,2009-11-14T15:32:27+00:00
1731,CYFD,small_airport,Brantford Municipal Airport,43.13140106,-80.34249878,815,NA,Canada,CA,Ontario,CA-ON,ON,Brantford,0,CYFD,,,http://www.brantfordairport.ca,https://en.wikipedia.org/wiki/Brantford_Airport,YFD,50,2008-07-04T04:49:40+00:00
1956,CYXD,closed,Edmonton City Centre (Blatchford Field) Airport,53.57249832,-113.5210037,2202,NA,Canada,CA,Alberta,CA-AB,AB,Edmonton,0,,,,http://corporate.flyeia.com/general_aviation/edmonton_city_centre,https://en.wikipedia.org/wiki/Edmonton_City_Centre_(Blatchford_Field)_Airport,"YEA, YXD, CYXD, YXD, CYXD",875,2013-11-30T19:41:47+00:00
2008,CZBB,medium_airport,Boundary Bay Airport,49.0742,-123.012001,6,NA,Canada,CA,British Columbia,CA-BC,BC,Delta,0,CZBB,YDT,,http://http://czbb.com/,https://en.wikipedia.org/wiki/Boundary_Bay_Airport,ZBB,250,2022-07-23T14:20:40+00:00
1784,CYKA,medium_airport,Kamloops Airport,50.70220184,-120.4440002,1133,NA,Canada,CA,British Columbia,CA-BC,BC,Kamloops,1,CYKA,YKA,,,https://en.wikipedia.org/wiki/Kamloops_Airport,,750,2014-03-15T23:41:25+00:00
1687,CYCD,medium_airport,Nanaimo Airport,49.05497,-123.869863,92,NA,Canada,CA,British Columbia,CA-BC,BC,Nanaimo,1,CYCD,YCD,,https://www.nanaimoairport.com/,https://en.wikipedia.org/wiki/Nanaimo_Airport,,750,2022-01-09T11:00:34+00:00
1970,CYXY,medium_airport,Whitehorse / Erik Nielsen International Airport,60.709599,-135.067001,2317,NA,Canada,CA,Yukon,CA-YT,YT,Whitehorse,1,CYXY,YXY,,,https://en.wikipedia.org/wiki/Whitehorse_International_Airport,,750,2021-11-20T15:38:06+00:00
1897,CYSB,medium_airport,Sudbury Airport,46.625,-80.79889679,1141,NA,Canada,CA,Ontario,CA-ON,ON,Sudbury,1,CYSB,YSB,,,https://en.wikipedia.org/wiki/Sudbury_Airport,,750,2008-06-13T14:30:04+00:00
1824,CYND,medium_airport,Ottawa / Gatineau Airport,45.521702,-75.563599,211,NA,Canada,CA,Quebec,CA-QC,QC,Gatineau,1,CYND,YND,CYND,http://www.ego-airport.ca/english/propos_ego/,https://en.wikipedia.org/wiki/Ottawa-Gatineau_Airport,YND,500,2019-10-02T21:09:26+00:00
1977,CYYG,medium_airport,Charlottetown Airport,46.29000092,-63.12110138,160,NA,Canada,CA,Prince Edward Island,CA-PE,PE,Charlottetown,1,CYYG,YYG,,,https://en.wikipedia.org/wiki/Charlottetown_Airport,PEI,750,2008-06-13T14:30:04+00:00
1682,CYBW,medium_airport,Calgary / Springbank Airport,51.1031,-114.374001,3940,NA,Canada,CA,Alberta,CA-AB,AB,Calgary,0,CYBW,,,http://www.ybw.ca/,https://en.wikipedia.org/wiki/Calgary/Springbank_Airport,YBW,250,2019-10-08T00:44:37+00:00
1740,CYGD,medium_airport,Goderich Airport,43.76689911,-81.71060181,712,NA,Canada,CA,Ontario,CA-ON,ON,Goderich,0,CYGD,,YGD,http://www.goderich.ca/en/townhall/airport.asp,https://en.wikipedia.org/wiki/Goderich_Airport,,250,2013-04-21T16:35:41+00:00
2007,CZBA,small_airport,Burlington Executive Airpark,43.441453,-79.850103,602,NA,Canada,CA,Ontario,CA-ON,ON,Burlington,0,CZBA,,,http://www.burlingtonairpark.com/,https://en.wikipedia.org/wiki/Burlington_Executive_Aerodrome,ZBA,150,2022-03-08T12:30:43+00:00
1966,CYXS,large_airport,Prince George Airport,53.884311,-122.666554,2267,NA,Canada,CA,British Columbia,CA-BC,BC,Prince George,1,CYXS,YXS,,https://www.pgairport.ca/,https://en.wikipedia.org/wiki/Prince_George_Airport,,1000,2023-03-03T12:13:43+00:00
1985,CYYR,medium_airport,Goose Bay Airport,53.31919861,-60.42580032,160,NA,Canada,CA,Newfoundland and Labrador,CA-NL,NL,Goose Bay,1,CYYR,YYR,,,https://en.wikipedia.org/wiki/CFB_Goose_Bay,CFB Goose Bay,750,2014-03-20T00:20:41+00:00
1657,CYAM,medium_airport,Sault Ste Marie Airport,46.485001,-84.509399,630,NA,Canada,CA,Ontario,CA-ON,ON,Sault Ste Marie,1,CYAM,YAM,,http://www.saultairport.com/,https://en.wikipedia.org/wiki/Sault_Ste._Marie_Airport,,750,2019-09-30T17:27:03+00:00
1867,CYQG,medium_airport,Windsor Airport,42.27560043,-82.95559692,622,NA,Canada,CA,Ontario,CA-ON,ON,Windsor,1,CYQG,YQG,,,https://en.wikipedia.org/wiki/Windsor_Airport,,750,2008-06-13T14:30:04+00:00
1892,CYRP,medium_airport,Ottawa / Carp Airport,45.31919861,-76.02220154,382,NA,Canada,CA,Ontario,CA-ON,ON,Ottawa,0,CYRP,,YRP,http://www.cyrp.ca/,https://en.wikipedia.org/wiki/Ottawa/Carp_Airport,YRP,250,2013-04-25T01:42:27+00:00
1943,CYVV,medium_airport,Wiarton Airport,44.7458,-81.107201,729,NA,Canada,CA,Ontario,CA-ON,ON,Wiarton,0,CYVV,YVV,,http://wiartonairport.ca/,https://en.wikipedia.org/wiki/Wiarton_Airport,,250,2016-02-21T21:56:30+00:00
1972,CYYB,medium_airport,North Bay Jack Garland Airport,46.363602,-79.422798,1215,NA,Canada,CA,Ontario,CA-ON,ON,North Bay,1,CYYB,YYB,,https://yyb.ca/,https://en.wikipedia.org/wiki/North_Bay/Jack_Garland_Airport,"Jack Garland Airport, CFB North Bay",750,2022-03-16T15:36:58+00:00
1848,CYPK,small_airport,Pitt Meadows Airport,49.21609879,-122.7099991,11,NA,Canada,CA,British Columbia,CA-BC,BC,Pitt Meadows,0,CYPK,,,,https://en.wikipedia.org/wiki/Pitt_Meadows_Airport,YPK,50,2008-06-13T14:30:04+00:00
1686,CYCC,medium_airport,Cornwall Regional Airport,45.092637,-74.567724,175,NA,Canada,CA,Ontario,CA-ON,ON,Cornwall,0,CYCC,YCC,,,https://en.wikipedia.org/wiki/Cornwall_Regional_Airport,,250,2022-02-19T13:21:02+00:00
1729,CYFB,medium_airport,Iqaluit Airport,63.756402,-68.555801,110,NA,Canada,CA,Nunavut,CA-NU,NU,Iqaluit,1,CYFB,YFB,,,https://en.wikipedia.org/wiki/Iqaluit_Airport,Frobisher Bay Air Base,750,2017-03-31T23:10:58+00:00
1976,CYYF,medium_airport,Penticton Airport,49.46310043,-119.6019974,1129,NA,Canada,CA,British Columbia,CA-BC,BC,Penticton,1,CYYF,YYF,,,https://en.wikipedia.org/wiki/Penticton_Regional_Airport,,750,2008-06-13T14:30:04+00:00
1993,CYZF,medium_airport,Yellowknife International Airport,62.462799,-114.440002,675,NA,Canada,CA,Northwest Territories,CA-NT,NT,Yellowknife,1,CYZF,YZF,,,https://en.wikipedia.org/wiki/Yellowknife_Airport,,750,2021-11-20T15:48:22+00:00
1882,CYQY,medium_airport,Sydney / J.A. Douglas McCurdy Airport,46.1614,-60.047798,203,NA,Canada,CA,Nova Scotia,CA-NS,NS,Sydney,1,CYQY,YQY,,http://www.sydneyairport.ca/,https://en.wikipedia.org/wiki/Sydney/J.A._Douglas_McCurdy_Airport,,750,2018-09-16T02:31:25+00:00
1293,CYLS,small_airport,Barrie-Lake Simcoe Regional Airport,44.485989,-79.555687,972,NA,Canada,CA,Ontario,CA-ON,ON,Barrie,0,CYLS,YLK,CYLS,http://www.lakesimcoeairport.com/,https://en.wikipedia.org/wiki/Barrie-Orillia_(Lake_Simcoe_Regional)_Airport,"NB9, CNB9, Oro Station",50,2022-02-24T20:13:28+00:00
1871,CYQL,medium_airport,Lethbridge County Airport,49.63029861,-112.8000031,3048,NA,Canada,CA,Alberta,CA-AB,AB,Lethbridge,1,CYQL,YQL,,,https://en.wikipedia.org/wiki/Lethbridge_County_Airport,Kenyon Field,750,2011-08-25T17:42:43+00:00
1699,CYCW,small_airport,Chilliwack Airport,49.153157,-121.939309,32,NA,Canada,CA,British Columbia,CA-BC,BC,Chilliwack,0,CYCW,YCW,,,https://en.wikipedia.org/wiki/Chilliwack_Airport,YCW,50,2021-10-04T13:24:20+00:00
1815,CYMM,medium_airport,Fort McMurray Airport,56.65330124,-111.2220001,1211,NA,Canada,CA,Alberta,CA-AB,AB,Fort McMurray,1,CYMM,YMM,,,https://en.wikipedia.org/wiki/Fort_McMurray_Airport,,750,2010-09-22T20:29:41+00:00
1878,CYQU,medium_airport,Grande Prairie Airport,55.17969894,-118.8850021,2195,NA,Canada,CA,Alberta,CA-AB,AB,Grande Prairie,1,CYQU,YQU,,http://www.grandeprairieairport.com/,https://en.wikipedia.org/wiki/Grande_Prairie_Airport,,750,2010-08-10T14:06:40+00:00
1678,CYBR,medium_airport,Brandon Municipal Airport,49.91,-99.951897,1343,NA,Canada,CA,Manitoba,CA-MB,MB,Brandon,1,CYBR,YBR,,,https://en.wikipedia.org/wiki/Brandon_Airport,,500,2016-05-31T10:08:42+00:00
1317,CNL3,small_airport,Brockville - Thousand Islands Regional Tackaberry Airport,44.63940048,-75.75029755,402,NA,Canada,CA,Ontario,CA-ON,ON,Brockville,0,CNL3,XBR,CNL3,,https://en.wikipedia.org/wiki/Brockville-Thousand_Islands_Regional_Tackaberry_Airport,NL3,50,2013-06-27T16:47:39+00:00
1323,CYSA,small_airport,Stratford Municipal Airport,43.41559982,-80.93440247,1215,NA,Canada,CA,Ontario,CA-ON,ON,Stratford,0,CYSA,,CYSA,http://www.city.stratford.on.ca/site_ourcitylife/know_your_city_airport.asp,https://en.wikipedia.org/wiki/Stratford_Municipal_Airport,"NM4, CNM4",50,2012-10-22T21:13:37+00:00
1866,CYQF,medium_airport,Red Deer Regional Airport,52.182201,-113.893997,2968,NA,Canada,CA,Alberta,CA-AB,AB,Springbrook,0,CYQF,YQF,,,https://en.wikipedia.org/wiki/Red_Deer_Regional_Airport,,250,2023-02-26T00:33:07+00:00
1898,CYSC,medium_airport,Sherbrooke Airport,45.438599,-71.691399,792,NA,Canada,CA,Quebec,CA-QC,QC,Sherbrooke,0,CYSC,YSC,,,https://en.wikipedia.org/wiki/Sherbrooke_Airport,,275,2022-03-08T12:28:06+00:00
1295,CNC4,small_airport,Guelph Airport,43.56389999,-80.19609833,1100,NA,Canada,CA,Ontario,CA-ON,ON,Guelph,0,CNC4,,CNC4,http://www.aviationinternational.com/,https://en.wikipedia.org/wiki/Guelph_Airport,NC4,50,2008-09-04T14:40:48+00:00
1904,CYSJ,medium_airport,Saint John Airport,45.31610107,-65.89029694,357,NA,Canada,CA,New Brunswick,CA-NB,NB,Saint John,1,CYSJ,YSJ,,,https://en.wikipedia.org/wiki/Saint_John_Airport,,750,2008-06-13T14:30:04+00:00
1716,CYEE,medium_airport,Huronia Airport,44.68330002,-79.92829895,770,NA,Canada,CA,Ontario,CA-ON,ON,Midland,0,CYEE,,YEE,,https://en.wikipedia.org/wiki/Midland/Huronia_Airport,,250,2012-01-14T03:04:01+00:00
1903,CYSH,medium_airport,Smiths Falls-Montague (Russ Beach) Airport,44.945801,-75.940598,416,NA,Canada,CA,Ontario,CA-ON,ON,Smiths Falls,0,CYSH,YSH,,http://www.smithsfallsflyingclub.com/,https://en.wikipedia.org/wiki/Smiths_Falls-Montague_Airport,Smith Falls,250,2022-01-09T13:33:09+00:00
1876,CYQS,medium_airport,St Thomas Municipal Airport,42.77000046,-81.1108017,778,NA,Canada,CA,Ontario,CA-ON,ON,St Thomas,0,CYQS,YQS,,,https://en.wikipedia.org/wiki/St._Thomas_Airport,,250,2008-06-13T14:30:04+00:00
1436,CYHS,small_airport,Hanover / Saugeen Municipal Airport,44.158298,-81.062798,939,NA,Canada,CA,Ontario,CA-ON,ON,Hanover,0,CYHS,,CYHS,http://www.saugeenmunicipalairport.com/,https://en.wikipedia.org/wiki/Hanover/Saugeen_Municipal_Airport,"CPN4, YHS, PN4",50,2016-12-07T22:56:29+00:00
1997,CYZR,medium_airport,Chris Hadfield Airport,42.99940109,-82.30889893,594,NA,Canada,CA,Ontario,CA-ON,ON,Sarnia,1,CYZR,YZR,,,https://en.wikipedia.org/wiki/Sarnia_(Chris_Hadfield)_Airport,,750,2008-06-13T14:30:04+00:00
1294,CNC3,medium_airport,Brampton-Caledon Airport,43.7603,-79.875,935,NA,Canada,CA,Ontario,CA-ON,ON,,0,CNC3,,CNC3,,https://en.wikipedia.org/wiki/Brampton_Airport,NC3,250,2019-11-16T10:50:04+00:00
1917,CYTA,medium_airport,Pembroke Airport,45.86439896,-77.25170135,529,NA,Canada,CA,Ontario,CA-ON,ON,Pembroke,0,CYTA,YTA,,http://www.flycyta.ca/,https://en.wikipedia.org/wiki/Pembroke_Airport,,250,2009-08-10T18:26:45+00:00
1314,CNK4,small_airport,Parry Sound Area Municipal Airport,45.2575,-79.829697,832,NA,Canada,CA,Ontario,CA-ON,ON,Parry Sound,0,CNK4,YPD,CNK4,http://www.seguin.ca/en/municipalairport.asp,https://en.wikipedia.org/wiki/Parry_Sound_Area_Municipal_Airport,"NK4, Seguin",50,2016-04-29T14:45:54+00:00
1706,CYDF,medium_airport,Deer Lake Airport,49.21080017,-57.39139938,72,NA,Canada,CA,Newfoundland and Labrador,CA-NL,NL,Deer Lake,1,CYDF,YDF,,,https://en.wikipedia.org/wiki/Deer_Lake_Airport_(Newfoundland),,750,2008-06-13T14:30:04+00:00
1925,CYTS,medium_airport,Timmins/Victor M. Power,48.56969833,-81.37670136,967,NA,Canada,CA,Ontario,CA-ON,ON,Timmins,1,CYTS,YTS,,http://portal.timmins.ca/portal/en/timmins/residents/airport,https://en.wikipedia.org/wiki/Timmins_Airport,Timmins Victor M. Power Airport,750,2010-01-31T15:10:49+00:00
1874,CYQQ,medium_airport,Comox Valley Airport / CFB Comox,49.7108,-124.887001,84,NA,Canada,CA,British Columbia,CA-BC,BC,Comox,1,CYQQ,YQQ,,,https://en.wikipedia.org/wiki/CFB_Comox,CFB Comox,750,2020-12-13T00:30:35+00:00
1666,CYAZ,medium_airport,Tofino / Long Beach Airport,49.079833,-125.775583,80,NA,Canada,CA,British Columbia,CA-BC,BC,Tofino,1,CYAZ,YAZ,,http://www.acrd.bc.ca/long-beach-airport,https://en.wikipedia.org/wiki/Tofino_Airport,,750,2016-04-29T14:35:39+00:00
1675,CYBL,medium_airport,Campbell River Airport,49.950802,-125.271004,346,NA,Canada,CA,British Columbia,CA-BC,BC,Campbell River,1,CYBL,YBL,YBL,,https://en.wikipedia.org/wiki/Campbell_River_Airport,,750,2019-10-08T00:31:48+00:00
1955,CYXC,medium_airport,Cranbrook/Canadian Rockies International Airport,49.6108017,-115.7819977,3082,NA,Canada,CA,British Columbia,CA-BC,BC,Cranbrook,1,CYXC,YXC,,,https://en.wikipedia.org/wiki/Cranbrook/Canadian_Rockies_International_Airport,,750,2015-08-07T19:16:42+00:00
1870,CYQK,medium_airport,Kenora Airport,49.78829956,-94.36309814,1332,NA,Canada,CA,Ontario,CA-ON,ON,Kenora,1,CYQK,YQK,,,https://en.wikipedia.org/wiki/Kenora_Airport,,750,2008-06-13T14:30:04+00:00
1947,CYWH,seaplane_base,Victoria Harbour Seaplane Base,48.423782,-123.37198,,NA,Canada,CA,British Columbia,CA-BC,BC,Victoria,1,CYWH,YWH,,,https://en.wikipedia.org/wiki/Victoria_Inner_Harbour_Airport,,625,2021-01-20T14:57:12+00:00
2011,CZBM,medium_airport,Bromont (Roland Désourdy) Airport,45.290798,-72.741402,375,NA,Canada,CA,Quebec,CA-QC,QC,Bromont,0,CZBM,ZBM,,,https://en.wikipedia.org/wiki/Roland-D%C3%A9sourdy_Airport,,250,2022-01-09T16:50:03+00:00
1893,CYRQ,medium_airport,Trois-Rivières Airport,46.35279846,-72.67939758,199,NA,Canada,CA,Quebec,CA-QC,QC,Trois-Rivières,0,CYRQ,YRQ,,,https://en.wikipedia.org/wiki/Trois-Rivi%C3%A8res_Airport,,250,2009-01-24T12:45:21+00:00
1958,CYXH,medium_airport,Medicine Hat Regional Airport,50.018902,-110.721001,2352,NA,Canada,CA,Alberta,CA-AB,AB,Medicine Hat,1,CYXH,YXH,,,https://en.wikipedia.org/wiki/Medicine_Hat_Airport,,750,2022-03-04T12:45:51+00:00
